Order;PID;MS Zoning;Lot Frontage;Lot Area;Street;Lot Config;Neighborhood;Bldg Type;House Style;Overall Qual;Overall Cond;Year Built;Year Remod/Add;Roof Style;Roof Matl;Exterior 1st;Exterior 2nd;Exter Qual;Foundation;Total Bsmt SF;Heating;Gr Liv Area;Full Bath;Half Bath;Bedroom AbvGr;Kitchen AbvGr;TotRms AbvGrd;Fireplaces;Garage Type;Garage Yr Blt;Garage Cars;Garage Area;Pool Area;Fence;Misc Feature;Misc Val;Mo Sold;Yr Sold;SalePrice;SalePrice_log;Lot Area_log;Total Bsmt SF_log;TotalPorchSF;HouseAge;YearsSinceRemodel;IsRenovated;GrLivArea_m2;LotArea_boxcox;SalePrice_boxcox
806;906223210;RL;80.0;9828;Pave;Inside;SawyerW;1Fam;2Story;8;5;1995;1995;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1128.0;GasA;2020;2;1;3;1;8;1;Attchd;1995.0;2.0;466.0;0;NoFence;NoFeature;0;6;2009;239500;12.386308695833106;9.19299073364107;7.029087564149662;155;14;14;0;187.66;17.672096857145362;12.991650073158677
807;906226060;RL;120.0;26400;Pave;FR2;SawyerW;1Fam;2Story;5;7;1880;2007;Gable;CompShg;HdBoard;HdBoard;Gd;PConc;0.0;GasA;2016;1;0;4;1;7;1;Attchd;1900.0;2.0;576.0;0;NoFence;NoFeature;0;6;2009;131000;11.782952602183288;10.181119289134408;0.0;0;129;2;1;187.29;21.13839510996942;12.329901562637248
808;906226070;RL;64.0;7018;Pave;Inside;SawyerW;Duplex;1Story;5;5;1979;1979;Gable;CompShg;HdBoard;HdBoard;TA;Slab;0.0;GasA;1535;2;0;4;2;8;0;Attchd;1979.0;2.0;410.0;0;NoFence;NoFeature;0;6;2009;118964;11.686576205316552;8.85623355614316;0.0;0;30;30;0;142.61;16.588532420416584;12.224480331351053
809;906226080;RL;64.0;7018;Pave;Inside;SawyerW;Duplex;SFoyer;5;5;1979;1979;Gable;CompShg;Plywood;Plywood;TA;CBlock;1086.0;GasA;1224;0;2;2;2;6;2;Detchd;1979.0;2.0;528.0;0;NoFence;NoFeature;0;6;2009;153337;11.940393392554734;8.85623355614316;6.99117688712121;0;30;30;0;113.71;16.588532420416584;12.502285180407272
810;906226090;RL;64.0;7018;Pave;Inside;SawyerW;Duplex;2Story;5;5;1979;1979;Gable;CompShg;HdBoard;HdBoard;TA;Slab;0.0;GasA;2228;2;0;6;2;8;0;Detchd;1979.0;2.0;720.0;0;NoFence;NoFeature;0;6;2009;147983;11.904852681283913;8.85623355614316;0.0;0;30;30;0;206.99;16.588532420416584;12.46335314018982
811;906226100;RL;64.0;7018;Pave;Inside;SawyerW;Duplex;1Story;5;5;1979;1979;Gable;CompShg;HdBoard;HdBoard;TA;Slab;0.0;GasA;1535;2;0;4;2;8;0;Attchd;1979.0;2.0;400.0;0;GdPrv;NoFeature;0;6;2009;118858;11.685684782260491;8.85623355614316;0.0;0;30;30;0;142.61;16.588532420416584;12.223505611535234
812;906226110;RL;64.0;7018;Pave;Inside;SawyerW;Duplex;1Story;5;5;1979;1979;Gable;CompShg;Plywood;Plywood;TA;Slab;0.0;GasA;1535;2;0;4;2;8;0;Attchd;1979.0;2.0;400.0;0;NoFence;NoFeature;0;6;2009;118858;11.685684782260491;8.85623355614316;0.0;0;30;30;0;142.61;16.588532420416584;12.223505611535234
813;906226120;RL;64.0;7018;Pave;Inside;SawyerW;Duplex;2Story;5;5;1979;1979;Gable;CompShg;Plywood;Plywood;TA;Slab;0.0;GasA;2240;2;0;6;2;12;0;Detchd;1979.0;2.0;528.0;0;NoFence;NoFeature;0;6;2009;142953;11.870271183889114;8.85623355614316;0.0;0;30;30;0;208.1;16.588532420416584;12.42548199430814
814;906226130;RL;64.0;7040;Pave;Inside;SawyerW;Duplex;SFoyer;5;5;1979;1979;Gable;CompShg;Plywood;Plywood;TA;CBlock;1094.0;GasA;1229;0;2;2;2;6;2;Detchd;1979.0;2.0;672.0;0;NoFence;NoFeature;0;6;2009;148325;11.907161091126843;8.859363449152088;6.9985096422506015;0;30;30;0;114.18;16.598387318171337;12.465881499553744
815;906226140;RL;64.0;7007;Pave;Inside;SawyerW;Duplex;1Story;5;5;1979;1979;Gable;CompShg;HdBoard;HdBoard;TA;Slab;0.0;GasA;1513;2;0;4;2;8;0;Attchd;1979.0;2.0;400.0;0;NoFence;NoFeature;0;6;2009;113722;11.641512152666213;8.854664928370534;0.0;0;30;30;0;140.56;16.583594882807294;12.175213701176057
816;906230010;RL;69.22;11855;Pave;Inside;SawyerW;Duplex;2Story;7;5;2000;2000;Hip;CompShg;VinylSd;VinylSd;TA;PConc;1168.0;GasA;2787;4;2;6;2;8;2;BuiltIn;2000.0;4.0;820.0;0;NoFence;NoFeature;0;10;2009;269500;12.504323669331189;9.380504998499505;7.063903961472068;0;9;9;0;258.92;18.296248021028628;13.121443717218074
817;906230020;RL;69.22;7939;Pave;Inside;SawyerW;Duplex;2Story;7;5;2000;2000;Hip;CompShg;VinylSd;VinylSd;TA;PConc;1168.0;GasA;2787;4;2;6;2;8;2;BuiltIn;2000.0;4.0;820.0;0;NoFence;NoFeature;0;10;2009;269500;12.504323669331189;8.979542601725113;7.063903961472068;0;9;9;0;258.92;16.97982475856446;13.121443717218074
818;906230030;RL;69.22;7976;Pave;Inside;SawyerW;Duplex;2Story;7;5;2000;2000;Hip;CompShg;VinylSd;VinylSd;TA;PConc;1168.0;GasA;2787;4;2;6;2;8;2;BuiltIn;2000.0;4.0;820.0;0;NoFence;NoFeature;0;10;2009;269500;12.504323669331189;8.984192311641674;7.063903961472068;0;9;9;0;258.92;16.994702108277476;13.121443717218074
819;906340100;RL;84.0;10933;Pave;Inside;CollgCr;1Fam;1Story;9;5;2009;2009;Hip;CompShg;VinylSd;VinylSd;Ex;PConc;1555.0;GasA;1680;1;1;1;1;8;1;Attchd;2009.0;3.0;1138.0;0;NoFence;NoFeature;0;7;2009;323262;12.686218418914901;9.299541017434485;7.349873704738337;24;0;0;0;156.08;18.024895036862777;13.321722212724172
820;906340110;RL;79.0;10637;Pave;Inside;CollgCr;1Fam;1Story;8;5;2007;2008;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;1705.0;GasA;1718;2;0;3;1;7;1;Attchd;2007.0;3.0;826.0;0;NoFence;NoFeature;0;9;2009;297000;12.601487417784837;9.272093768251665;7.441906728051625;44;2;1;1;159.61;17.933548616532804;13.228392968087647
821;906340120;RL;61.0;10226;Pave;Inside;CollgCr;1Fam;1Story;8;5;2008;2008;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1622.0;GasA;1630;2;0;3;1;8;1;Attchd;2008.0;3.0;860.0;0;NoFence;NoFeature;0;1;2009;295493;12.596400426884427;9.232688775639945;7.392031567514591;42;1;1;0;151.43;17.80297228398993;13.222791688175386
822;906340130;RL;65.0;10816;Pave;Inside;CollgCr;1Fam;1Story;9;5;2008;2008;Gable;CompShg;VinylSd;VinylSd;Ex;PConc;1720.0;GasA;1720;2;0;3;1;8;1;Attchd;2008.0;3.0;846.0;0;NoFence;NoFeature;0;11;2009;332000;12.712890247898626;9.288781798282745;7.450660796211539;104;1;1;0;159.79;17.989048888513906;13.35111312883271
823;906378110;RL;71.0;9178;Pave;Inside;CollgCr;1Fam;1Story;8;5;2008;2008;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1468.0;GasA;1468;2;0;3;1;6;1;Attchd;2008.0;3.0;904.0;0;NoFence;NoFeature;0;6;2009;239900;12.387977448827787;9.124564594954778;7.292337176173877;142;1;1;0;136.38;17.44808459489683;12.993484562662529
824;906380050;RL;68.0;10769;Pave;Inside;CollgCr;1Fam;2Story;8;5;2007;2007;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;866.0;GasA;1768;2;1;3;1;7;0;Attchd;2007.0;2.0;578.0;0;NoFence;NoFeature;0;4;2009;212000;12.26434155365415;9.284426915328881;6.7650389767805414;105;2;2;0;164.25;17.974554055139162;12.857632789251452
825;906380060;RL;77.0;11422;Pave;Inside;CollgCr;1Fam;1Story;8;5;2007;2008;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;1838.0;GasA;1838;2;0;3;1;7;2;Attchd;2007.0;2.0;524.0;0;NoFence;NoFeature;0;4;2009;272500;12.515393893085436;9.343296599224809;7.516977224604321;222;2;1;1;170.76;18.171189734578224;13.133624830085301
826;906380100;RL;122.0;11923;Pave;Corner;CollgCr;1Fam;1Story;9;5;2007;2007;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1800.0;GasA;1800;2;0;2;1;7;0;Attchd;2007.0;2.0;702.0;0;NoFence;NoFeature;0;5;2009;239000;12.384218830913648;9.386224586806131;7.496097345175956;136;2;2;0;167.23;18.315525173592405;12.989352680916806
827;906380130;RL;68.0;8814;Pave;Inside;CollgCr;1Fam;1Story;7;5;2006;2006;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1604.0;GasA;1604;2;1;3;1;8;1;Attchd;2006.0;2.0;660.0;0;NoFence;NoFeature;0;3;2009;220000;12.301382825334498;9.084096645401932;7.380879035564116;110;3;3;0;149.02;17.316532375707794;12.898320463736793
828;906380210;RL;64.0;6762;Pave;Inside;CollgCr;1Fam;1Story;7;5;2007;2007;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1282.0;GasA;1290;2;0;2;1;6;1;Attchd;2007.0;2.0;662.0;0;NoFence;NoFeature;0;5;2009;200000;12.206072645530174;8.819073983267831;7.1569563646156364;0;2;2;0;119.84;16.471835092665046;12.793651106846713
829;906380220;RL;95.0;10324;Pave;Corner;CollgCr;1Fam;1Story;8;5;2008;2008;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1254.0;GasA;1254;2;0;2;1;5;0;Attchd;2008.0;3.0;810.0;0;NoFence;NoFeature;0;3;2009;221800;12.309531353898404;9.242226560838505;7.134890851565884;92;1;1;0;116.5;17.834516556179818;12.907272692719486
830;906392070;RL;64.0;7314;Pave;Inside;CollgCr;1Fam;1Story;7;5;2007;2007;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1232.0;GasA;1232;2;0;2;1;6;0;Attchd;2007.0;2.0;632.0;0;NoFence;NoFeature;0;2;2009;194500;12.178187442040638;8.897545598709327;7.117205503164344;0;2;2;0;114.46;16.718931164806786;12.763042075754528
831;906392110;RL;78.0;11645;Pave;Inside;CollgCr;1Fam;1Story;8;5;2005;2006;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1498.0;GasA;1498;2;0;3;1;7;1;Attchd;2005.0;3.0;844.0;0;NoFence;NoFeature;0;3;2009;237000;12.375815420117268;9.36263218231844;7.312553498102598;98;4;3;1;139.17;18.236101872084838;12.980115166894294
832;906392130;RL;79.0;11646;Pave;Inside;CollgCr;1Fam;2Story;6;5;2005;2006;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;704.0;GasA;1422;2;1;3;1;7;1;Attchd;2005.0;2.0;440.0;0;NoFence;NoFeature;0;7;2009;173000;12.061046873479915;9.362718052397065;6.558197802812269;28;4;3;1;132.11;18.236390512055358;12.63453046248918
833;906402060;RL;69.22;12800;Pave;Inside;SawyerW;1Fam;SLvl;7;5;1989;1989;Gable;CompShg;Wd Sdng;Wd Sdng;Gd;PConc;1518.0;GasA;1644;2;0;2;1;5;1;Attchd;1989.0;2.0;569.0;0;NoFence;NoFeature;0;8;2009;275000;12.524526376648708;9.457200449907708;7.325807502595773;396;20;20;0;152.73;18.55593201304109;13.143674527878515
834;906426210;RL;0.0;16698;Pave;CulDSac;ClearCr;1Fam;2Story;7;5;1992;1993;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1449.0;GasA;1759;2;1;3;1;7;1;Attchd;1992.0;2.0;525.0;0;NoFence;NoFeature;0;6;2009;233500;12.360937356091089;9.723044230753946;7.27931883541462;193;17;16;1;163.42;19.476282325329265;12.963761795701567
835;906475070;RL;0.0;28698;Pave;CulDSac;ClearCr;1Fam;2Story;5;5;1967;1967;Flat;Tar&Grv;Plywood;Plywood;TA;PConc;1013.0;GasA;2126;2;1;3;1;7;0;Attchd;1967.0;2.0;538.0;0;NoFence;NoFeature;0;6;2009;185000;12.128111104060462;10.264582712908352;6.921658184151129;225;42;42;0;197.51;21.452001809431362;12.708090655841389
836;907126010;RL;82.0;12464;Pave;Corner;CollgCr;1Fam;1Story;5;5;1996;1996;Gable;CompShg;VinylSd;VinylSd;TA;PConc;1040.0;GasA;1040;1;0;3;1;6;0;Detchd;2000.0;2.0;576.0;0;GdPrv;NoFeature;0;11;2009;152000;11.931635799828413;9.430599768110529;6.947937068614969;0;13;13;0;96.62;18.465572200587815;12.492690947676659
837;907126050;RL;65.0;9757;Pave;Inside;CollgCr;1Fam;1Story;5;7;1994;1994;Gable;CompShg;VinylSd;VinylSd;TA;PConc;990.0;GasA;990;1;0;3;1;5;0;Attchd;1995.0;1.0;440.0;0;NoFence;NoFeature;0;10;2009;143000;11.870599909242044;9.18574025510795;6.898714534329988;92;15;15;0;91.97;17.648266247840134;12.425841943326782
838;907130100;RL;65.0;15426;Pave;Inside;CollgCr;1Fam;2Story;6;5;1997;1997;Gable;CompShg;VinylSd;VinylSd;TA;PConc;928.0;GasA;1764;2;1;3;1;7;0;Attchd;1997.0;2.0;470.0;0;MnPrv;NoFeature;0;8;2009;231500;12.352335152508426;9.643809676493944;6.834108738813838;99;12;12;0;163.88;19.19865080510087;12.954307447082893
839;907131090;RL;43.0;10667;Pave;CulDSac;CollgCr;1Fam;2Story;7;6;1996;1996;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;799.0;GasA;1661;2;1;3;1;6;1;Attchd;1996.0;2.0;550.0;0;NoFence;NoFeature;0;4;2009;212000;12.26434155365415;9.274910142625483;6.684611727667927;61;13;13;0;154.31;17.94290677297371;12.857632789251452
840;907131190;RL;65.0;14753;Pave;Inside;CollgCr;1Fam;1Story;7;5;1998;1998;Gable;CompShg;VinylSd;VinylSd;TA;PConc;1463.0;GasA;1463;2;0;3;1;5;0;Attchd;1998.0;2.0;539.0;0;GdPrv;NoFeature;0;12;2009;207000;12.240474072247506;9.599201730917567;7.288927694521257;81;11;11;0;135.92;19.04359683115327;12.831421856937784
841;907135040;RL;112.0;10859;Pave;Corner;CollgCr;1Fam;1Story;5;5;1994;1995;Gable;CompShg;VinylSd;VinylSd;TA;PConc;1097.0;GasA;1097;1;1;3;1;6;0;Attchd;1995.0;2.0;672.0;0;NoFence;NoFeature;0;6;2009;145000;11.884489021402711;9.2927495082169;7.001245622069476;64;15;14;1;101.91;18.00226216938364;12.44105112610666
842;907135170;RL;60.0;8072;Pave;Inside;CollgCr;1Fam;1Story;5;5;1994;1995;Gable;CompShg;VinylSd;VinylSd;TA;PConc;990.0;GasA;990;1;0;3;1;5;0;Detchd;2000.0;2.0;480.0;0;NoFence;NoFeature;0;5;2009;138000;11.835008964139341;8.996156562033445;6.898714534329988;64;15;14;1;91.97;17.033024480963366;12.386875678006485
843;907175100;RL;80.0;10400;Pave;Corner;CollgCr;1Fam;2Story;7;5;1998;1998;Gable;CompShg;VinylSd;VinylSd;TA;PConc;866.0;GasA;1779;2;1;3;1;6;0;Attchd;1998.0;2.0;546.0;0;NoFence;NoFeature;0;3;2009;197900;12.195517131590657;9.249561085129464;6.7650389767805414;36;11;11;0;165.27;17.858800505920197;12.782063762503821
844;907180130;RL;78.0;10335;Pave;Inside;CollgCr;1Fam;1Story;7;5;1999;1999;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1490.0;GasA;1501;2;0;3;1;6;0;Attchd;1999.0;2.0;577.0;0;NoFence;NoFeature;0;6;2009;204000;12.225875272826354;9.24329147211587;7.307202314764738;29;10;10;0;139.45;17.838040950534992;12.815392017709932
845;907181100;RL;68.0;9017;Pave;Inside;CollgCr;1Fam;1Story;7;5;1999;1999;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1431.0;GasA;1431;2;0;3;1;6;0;Attchd;1999.0;2.0;666.0;0;NoFence;NoFeature;0;9;2009;192000;12.165250651009918;9.106866963499908;7.266827347520591;35;10;10;0;132.94;17.39046874484032;12.74884383402707
846;907185050;RL;70.0;8750;Pave;Inside;CollgCr;1Fam;2Story;6;5;1998;1998;Gable;CompShg;VinylSd;VinylSd;TA;PConc;928.0;GasA;1772;2;1;3;1;7;1;Attchd;1998.0;2.0;492.0;0;NoFence;NoFeature;0;4;2009;200000;12.206072645530174;9.07680897935166;6.834108738813838;96;11;11;0;164.62;17.29291497048743;12.793651106846713
847;907192030;RL;68.0;8935;Pave;Inside;CollgCr;1Fam;2Story;7;5;2002;2002;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;831.0;GasA;1660;2;1;3;1;7;0;Attchd;2002.0;2.0;493.0;0;NoFence;NoFeature;0;7;2009;195000;12.180754837545884;9.097731427593528;6.723832440821209;68;7;7;0;154.22;17.36077901143211;12.765859981839172
848;907192090;RL;67.0;9808;Pave;Inside;CollgCr;1Fam;1Story;7;5;2002;2002;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1573.0;GasA;1573;2;0;3;1;6;0;Attchd;2002.0;2.0;544.0;0;NoFence;NoFeature;0;3;2009;227000;12.332705296463539;9.190953658175992;7.3613754289773485;72;7;7;0;146.14;17.66539921147466;12.932735360825923
849;907194010;RL;79.0;12420;Pave;Inside;CollgCr;1Fam;2Story;7;5;2001;2001;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;944.0;GasA;1840;2;1;3;1;6;0;Attchd;2001.0;2.0;622.0;0;NoFence;NoFeature;0;6;2009;230000;12.345834587905333;9.42706335548747;6.851184927493743;45;8;8;0;170.94;18.453582788520578;12.947163340827338
850;907194110;RL;67.0;16285;Pave;Inside;CollgCr;1Fam;1Story;7;5;2001;2002;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1413.0;GasA;1430;2;0;3;1;6;0;Attchd;2001.0;2.0;605.0;0;NoFence;NoFeature;0;6;2009;187100;12.139398512262181;9.697999717710333;7.254177846456518;33;8;7;1;132.85;19.38822028751457;12.720475090878569
851;907194160;RL;65.0;10739;Pave;Inside;CollgCr;1Fam;1Story;7;5;2002;2001;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1431.0;GasA;1444;2;0;3;1;6;0;Attchd;2002.0;2.0;577.0;0;NoFence;NoFeature;0;4;2009;203000;12.220961258023925;9.281637253858216;7.266827347520591;40;7;8;0;134.15;17.965273213705277;12.80999671153144
852;907196060;RL;75.0;11166;Pave;Inside;CollgCr;1Fam;1Story;7;5;2001;2001;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1492.0;GasA;1492;2;0;3;1;6;1;Attchd;2001.0;2.0;608.0;0;NoFence;NoFeature;0;7;2009;201000;12.211060187041213;9.320628725870305;7.30854279753919;282;8;8;0;138.61;18.0952973123021;12.799126519470304
853;907200230;RL;60.0;8430;Pave;Inside;CollgCr;1Fam;1Story;5;5;1978;1978;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;1040.0;GasA;1040;2;0;3;1;5;0;NoGarage;0.0;0.0;0.0;0;NoFence;NoFeature;0;8;2009;124000;11.728036844587175;9.039552050995901;6.947937068614969;0;31;31;0;96.62;17.172522680293955;12.269822493875036
854;907201220;RL;0.0;16269;Pave;CulDSac;CollgCr;1Fam;1Story;5;5;1978;1978;Gable;CompShg;MetalSd;MetalSd;TA;BrkTil;907.0;GasA;907;1;0;3;1;5;0;Attchd;1978.0;1.0;343.0;0;MnPrv;NoFeature;0;7;2009;140000;11.84939770159144;9.69701673550917;6.811244378601294;0;31;31;0;84.26;19.384769726041483;12.402627716189974
855;907201280;RL;76.0;6950;Pave;Inside;CollgCr;1Fam;1Story;5;7;1979;1979;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;914.0;GasA;914;1;0;2;1;5;0;Attchd;1979.0;2.0;444.0;0;NoFence;NoFeature;0;10;2009;134900;11.812289042195847;8.846496938558838;6.818924065275521;0;30;30;0;84.91;16.557900869076946;12.362006621688867
856;907202050;RL;61.0;8800;Pave;Inside;CollgCr;1Fam;1Story;5;7;1977;2008;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;1040.0;GasA;1040;2;0;3;1;5;0;Detchd;1977.0;2.0;484.0;0;NoFence;NoFeature;0;9;2009;150500;11.921718363171067;9.082507000466299;6.947937068614969;288;32;1;1;96.62;17.311378854723422;12.481826843007514
857;907202080;RL;0.0;7000;Pave;CulDSac;CollgCr;1Fam;1Story;5;8;1978;2005;Gable;CompShg;VinylSd;VinylSd;Gd;CBlock;864.0;GasA;864;1;0;3;1;6;0;Attchd;1978.0;1.0;336.0;0;GdWo;NoFeature;0;7;2009;136500;11.824079893607152;8.85366542803745;6.762729506931879;0;31;4;1;80.27;16.58044929907979;12.374912260177782
858;907202130;RL;0.0;9286;Pave;CulDSac;CollgCr;1Fam;1Story;5;7;1977;1989;Gable;CompShg;HdBoard;Plywood;TA;CBlock;1268.0;GasA;1268;1;1;3;1;5;0;Detchd;1978.0;1.0;252.0;0;NoFence;NoFeature;0;10;2009;143500;11.874090314181814;9.136263168579868;7.1459844677143876;0;32;20;1;117.8;17.486242650896724;12.429663936857226
859;907227030;RL;36.0;15523;Pave;CulDSac;CollgCr;1Fam;1Story;5;6;1972;1972;Gable;CompShg;HdBoard;Plywood;TA;CBlock;864.0;GasA;864;1;0;3;1;5;1;Attchd;1972.0;1.0;338.0;0;NoFence;NoFeature;0;8;2009;133500;11.801856756822442;9.650078074026442;6.762729506931879;0;37;37;0;80.27;19.220511156880544;12.350588967131923
860;907227080;RL;60.0;7200;Pave;Inside;CollgCr;1Fam;1Story;5;5;1972;1972;Hip;CompShg;MetalSd;MetalSd;TA;CBlock;894.0;GasA;894;1;0;2;1;6;0;Detchd;1985.0;2.0;600.0;0;NoFence;NoFeature;0;9;2009;123000;11.719939634354555;8.881836305004146;6.796823718274855;0;37;37;0;83.06;16.669263602004957;12.26096609783385
861;907227110;RL;60.0;7200;Pave;Inside;CollgCr;1Fam;SFoyer;5;8;1972;2003;Gable;CompShg;WdShing;HdBoard;TA;CBlock;768.0;GasA;768;1;0;2;1;5;0;Detchd;1974.0;1.0;396.0;0;MnPrv;NoFeature;0;4;2009;133900;11.804848531679264;8.881836305004146;6.645090969505644;0;37;6;1;71.35;16.669263602004957;12.353863233429697
862;907227290;RL;70.0;8445;Pave;Corner;CollgCr;1Fam;SFoyer;5;7;1972;2007;Gable;CompShg;HdBoard;Wd Shng;TA;CBlock;768.0;GasA;768;1;0;2;1;5;0;Detchd;1988.0;2.0;396.0;0;MnPrv;NoFeature;0;3;2009;133000;11.79810440720389;9.041329829241901;6.645090969505644;0;37;2;1;71.35;17.17825421864975;12.346482416409144
863;907250070;RL;90.0;11664;Pave;Corner;CollgCr;1Fam;1Story;7;5;2002;2002;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;1569.0;GasA;1611;2;0;3;1;6;0;Attchd;2002.0;3.0;1231.0;0;NoFence;NoFeature;0;9;2009;250000;12.429216196844383;9.36426245424844;7.358830898342354;93;7;7;0;149.67;18.241582345656443;13.038826478827193
864;907252060;RL;69.22;12334;Pave;Inside;CollgCr;1Fam;2Story;8;5;2003;2003;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1068.0;GasA;2184;2;1;4;1;8;1;BuiltIn;2003.0;2.0;570.0;0;NoFence;NoFeature;0;6;2009;254750;12.448037951084972;9.420114955551439;6.974478911025045;132;6;6;0;202.9;18.430041785452346;13.059525708814817
865;907252210;RL;69.22;11838;Pave;Inside;CollgCr;1Fam;1Story;8;5;2001;2001;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;1753.0;GasA;1788;2;0;3;1;7;1;Attchd;2001.0;2.0;522.0;0;NoFence;NoFeature;0;6;2009;236500;12.373703486914124;9.37906997525067;7.469654172932128;151;8;8;0;166.11;18.2914136957218;12.977793701362641
866;907252220;RL;69.22;11885;Pave;Inside;CollgCr;1Fam;2Story;8;5;2001;2001;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1299.0;GasA;1872;2;1;3;1;7;1;BuiltIn;2001.0;2.0;531.0;0;NoFence;NoFeature;0;11;2009;261500;12.474189562487116;9.383032379794294;7.170119543449628;122;8;8;0;173.91;18.304764481130817;13.0882908955733
867;907253130;RL;69.22;11050;Pave;Inside;CollgCr;1Fam;2Story;9;5;2000;2000;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;1440.0;GasA;2153;2;1;3;1;8;2;Attchd;2000.0;3.0;736.0;0;NoFence;NoFeature;0;5;2009;313000;12.65395846952229;9.3101857069459;7.273092595999522;142;9;9;0;200.02;18.060408789984713;13.286181495665875
868;907260030;RL;70.0;8749;Pave;Inside;CollgCr;1Fam;2Story;7;5;2002;2002;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;840.0;GasA;1725;2;1;3;1;6;0;Attchd;2002.0;2.0;550.0;0;NoFence;NoFeature;0;11;2009;198500;12.198544379109382;9.076694687106265;6.734591659972948;48;7;7;0;160.26;17.292544756911663;12.785386836140926
869;907265010;RL;0.0;11250;Pave;Corner;CollgCr;1Fam;2Story;7;5;2001;2001;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;944.0;GasA;1870;2;1;3;1;6;0;Attchd;2001.0;2.0;608.0;0;NoFence;NoFeature;0;5;2009;211000;12.259613412458204;9.328123407632566;6.851184927493743;43;8;8;0;173.73;18.120364987495062;12.852440031263935
870;907275010;RL;90.0;15750;Pave;FR3;CollgCr;1Fam;1Story;8;5;1999;2000;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1462.0;GasA;1513;2;0;2;1;5;1;Attchd;1999.0;2.0;521.0;0;NoFence;NoFeature;0;6;2009;220000;12.301382825334498;9.66459564425378;7.288244401020124;34;10;9;1;140.56;19.27120778296561;12.898320463736793
871;907275090;RL;73.0;11883;Pave;Inside;CollgCr;1Fam;1Story;7;5;1996;1996;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;1504.0;GasA;1504;2;0;3;1;6;1;Attchd;1996.0;2.0;478.0;0;NoFence;NoFeature;0;6;2009;203000;12.220961258023925;9.382864086290027;7.316548177182976;66;13;13;0;139.73;18.304197299661826;12.80999671153144
872;907275140;RL;69.22;12782;Pave;Inside;CollgCr;1Fam;1Story;8;5;2002;2003;Hip;CompShg;HdBoard;HdBoard;Gd;PConc;1822.0;GasA;1828;2;0;3;1;7;1;Attchd;2002.0;2.0;523.0;0;NoFence;NoFeature;0;6;2009;279500;12.540757571577291;9.455793210210228;7.508238774678663;144;7;6;1;169.83;18.55114396169258;13.161537622474665
873;907280170;RL;70.0;8750;Pave;Inside;CollgCr;1Fam;1Story;7;5;1997;1998;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1417.0;GasA;1417;2;0;3;1;7;1;Attchd;1997.0;2.0;511.0;0;NoFence;NoFeature;0;8;2009;210000;12.254862809699606;9.07680897935166;7.257002707092073;117;12;11;1;131.64;17.29291497048743;12.84722279351664
874;907285020;RL;69.22;9375;Pave;Inside;CollgCr;1Fam;2Story;7;5;1997;1998;Gable;CompShg;VinylSd;VinylSd;TA;PConc;1057.0;GasA;2034;2;1;3;1;8;0;Attchd;1998.0;2.0;645.0;0;GdPrv;NoFeature;0;2;2009;219500;12.299107511497363;9.14580185083861;6.964135612418245;36;12;11;1;188.96;17.517398446107578;12.895820832201277
875;907285050;RL;70.0;8750;Pave;Inside;CollgCr;1Fam;2Story;7;5;1996;1996;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;880.0;GasA;1716;2;1;2;1;7;1;Attchd;1996.0;2.0;512.0;0;NoFence;NoFeature;0;7;2009;191000;12.160028707028767;9.07680897935166;6.78105762593618;120;13;13;0;159.42;17.29291497048743;12.74311310241817
