Order;PID;MS Zoning;Lot Frontage;Lot Area;Street;Lot Config;Neighborhood;Bldg Type;House Style;Overall Qual;Overall Cond;Year Built;Year Remod/Add;Roof Style;Roof Matl;Exterior 1st;Exterior 2nd;Exter Qual;Foundation;Total Bsmt SF;Heating;1st Flr SF;2nd Flr SF;Gr Liv Area;Full Bath;Half Bath;Bedroom AbvGr;Kitchen AbvGr;TotRms AbvGrd;Fireplaces;Garage Type;Garage Yr Blt;Garage Cars;Garage Area;Open Porch SF;Enclosed Porch;3Ssn Porch;Screen Porch;Pool Area;Fence;Misc Feature;Misc Val;Mo Sold;Yr Sold;SalePrice
582;534127170;RL;;9156;Pave;Inside;NWAmes;1Fam;1Story;6;7;1968;1968;Hip;CompShg;BrkFace;BrkFace;TA;CBlock;1489.0;GasA;1489;0;1489;2;0;3;1;7;1;Attchd;1968.0;2.0;462.0;0;0;0;0;0;;;0;8;2009;185750
583;534128010;RL;;10382;Pave;Corner;NWAmes;1Fam;2Story;7;6;1973;1973;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;1107.0;GasA;1107;983;2090;2;1;3;1;7;2;Attchd;1973.0;2.0;484.0;204;228;0;0;0;;Shed;350;11;2009;200000
584;534128020;RL;;12732;Pave;CulDSac;NWAmes;1Fam;2Story;7;6;1974;1974;Gable;CompShg;VinylSd;VinylSd;TA;CBlock;752.0;GasA;1285;782;2067;2;1;3;1;7;2;Attchd;1974.0;2.0;784.0;40;0;0;0;0;;;0;6;2009;206000
585;534128100;RL;;12936;Pave;CulDSac;NWAmes;1Fam;2Story;6;6;1972;1972;Gable;CompShg;HdBoard;Plywood;TA;CBlock;723.0;GasA;735;660;1395;1;1;3;1;6;1;Attchd;1972.0;2.0;497.0;116;0;0;0;0;;;0;12;2009;162000
586;534128190;RL;80.0;10400;Pave;Inside;NWAmes;1Fam;2Story;6;7;1967;1997;Gable;CompShg;MetalSd;MetalSd;TA;PConc;932.0;GasA;1271;1369;2640;2;1;5;1;8;1;Attchd;1967.0;2.0;515.0;120;0;0;168;0;;;0;5;2009;256900
587;534129080;RL;;17871;Pave;CulDSac;NWAmes;1Fam;SLvl;6;5;1967;1976;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;1680.0;GasA;1724;0;1724;1;1;3;1;7;1;Attchd;1967.0;2.0;480.0;0;0;0;0;0;;;0;6;2009;197900
588;534129370;RL;80.0;9600;Pave;Inside;NWAmes;1Fam;1Story;5;5;1969;1969;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;1288.0;GasA;1336;0;1336;2;0;3;1;6;1;Attchd;1969.0;2.0;502.0;11;0;0;0;0;;Shed;650;8;2009;163000
589;534129380;RL;75.0;9000;Pave;Inside;NWAmes;1Fam;1Story;6;5;1969;1969;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;1216.0;GasA;1216;0;1216;1;0;3;1;5;0;Attchd;1969.0;1.0;336.0;0;0;0;0;0;MnPrv;;0;8;2009;113000
590;534151120;RL;;13774;Pave;Inside;NWAmes;1Fam;2Story;7;7;1977;1992;Hip;CompShg;HdBoard;HdBoard;TA;PConc;908.0;GasA;1316;972;2288;1;2;4;1;8;2;Attchd;1977.0;2.0;520.0;72;0;0;156;0;;;0;11;2009;230000
591;534152120;RL;80.0;9650;Pave;Inside;NWAmes;1Fam;1Story;6;5;1977;1977;Gable;CompShg;Plywood;Plywood;TA;CBlock;1350.0;GasA;1334;0;1334;2;0;2;1;6;1;Attchd;1977.0;2.0;630.0;16;0;0;0;0;;;0;4;2009;167900
592;534175080;RL;78.0;10140;Pave;Inside;NWAmes;1Fam;1Story;7;5;1998;1999;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;1650.0;GasA;1680;0;1680;2;0;3;1;7;1;Attchd;1998.0;2.0;583.0;73;0;0;0;0;;;0;6;2009;213250
593;534177230;RL;70.0;8400;Pave;Inside;NWAmes;1Fam;2Story;8;6;2001;2001;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;810.0;GasA;810;855;1665;2;1;3;1;6;0;Attchd;2001.0;2.0;528.0;45;0;0;0;0;;;0;11;2009;227000
594;534200030;RL;62.0;7130;Pave;Inside;NAmes;1Fam;1Story;5;6;1967;1967;Gable;CompShg;HdBoard;HdBoard;TA;PConc;864.0;GasA;864;0;864;1;0;2;1;5;0;Attchd;1967.0;1.0;312.0;0;0;0;0;0;GdPrv;;0;6;2009;130000
595;534202170;RL;80.0;9600;Pave;Inside;NAmes;1Fam;1Story;5;5;1967;1967;Hip;CompShg;HdBoard;HdBoard;TA;CBlock;1568.0;GasA;1568;0;1568;1;1;3;1;7;0;Attchd;1967.0;2.0;440.0;40;0;0;0;0;;;0;3;2009;143000
596;534226120;RL;70.0;9100;Pave;Inside;NAmes;1Fam;1Story;5;6;1965;1965;Gable;CompShg;VinylSd;VinylSd;TA;CBlock;925.0;GasA;925;0;925;1;0;2;1;5;0;Detchd;1965.0;1.0;429.0;0;0;0;0;0;GdWo;;0;7;2009;117500
597;534250400;RL;80.0;9600;Pave;Inside;NWAmes;1Fam;2Story;7;5;1974;1974;Gable;CompShg;Plywood;Plywood;TA;CBlock;1165.0;GasA;1165;896;2061;2;1;4;1;8;1;Attchd;1974.0;2.0;498.0;77;0;0;196;0;;;0;5;2009;168500
598;534251030;RL;;16500;Pave;Inside;NWAmes;1Fam;SFoyer;6;5;1971;1971;Hip;CompShg;HdBoard;HdBoard;TA;CBlock;1232.0;GasA;1320;0;1320;2;0;3;1;5;1;Attchd;1971.0;2.0;495.0;20;0;0;0;0;;;0;5;2009;172500
599;534252240;RL;;9790;Pave;Inside;NWAmes;1Fam;1Story;6;5;1967;1967;Gable;CompShg;BrkFace;Wd Sdng;TA;CBlock;1372.0;GasA;1342;0;1342;2;0;3;1;7;1;Attchd;1967.0;2.0;457.0;0;0;0;197;0;;;0;9;2009;161500
600;534275060;RL;60.0;7436;Pave;Inside;NAmes;1Fam;1Story;4;7;1960;1960;Gable;CompShg;VinylSd;VinylSd;TA;CBlock;894.0;GasA;894;0;894;1;0;2;1;5;1;Detchd;1988.0;2.0;396.0;0;0;360;0;0;GdWo;;0;8;2009;141500
601;534275100;RL;65.0;8125;Pave;Inside;NAmes;1Fam;1Story;5;7;1959;1959;Hip;CompShg;MetalSd;MetalSd;TA;CBlock;864.0;GasA;864;0;864;1;0;3;1;5;0;Detchd;1960.0;1.0;308.0;0;0;0;0;0;;;0;9;2009;118000
602;534276040;RL;70.0;9100;Pave;Inside;NAmes;1Fam;1Story;6;6;1959;1959;Hip;CompShg;Wd Sdng;Wd Sdng;TA;CBlock;864.0;GasA;864;0;864;1;0;2;1;5;0;Detchd;2008.0;1.0;300.0;0;0;0;0;0;;Shed;450;10;2009;127500
603;534277090;RL;;9450;Pave;Corner;NAmes;1Fam;1Story;4;5;1957;1957;Gable;CompShg;Wd Sdng;Wd Sdng;TA;CBlock;1040.0;GasA;1362;0;1362;1;0;3;1;6;1;Attchd;1982.0;3.0;768.0;0;84;0;0;0;MnPrv;;0;5;2009;140000
604;534278070;RL;;13495;Pave;Corner;NAmes;1Fam;1Story;5;6;1956;1956;Gable;CompShg;Wd Sdng;Wd Sdng;TA;CBlock;1048.0;GasA;1728;0;1728;2;0;3;1;7;1;Detchd;1956.0;2.0;576.0;99;0;0;0;0;;;0;7;2009;177625
605;534278230;RL;85.0;11475;Pave;Corner;NAmes;Duplex;1Story;5;5;1958;1958;Gable;CompShg;VinylSd;VinylSd;TA;CBlock;1584.0;GasA;1776;0;1776;2;0;4;2;9;0;Detchd;1968.0;3.0;888.0;25;0;0;0;0;;;0;7;2009;110000
606;534400050;RL;100.0;10004;Pave;Inside;NAmes;1Fam;1Story;6;6;1964;1964;Gable;CompShg;HdBoard;Plywood;TA;CBlock;1516.0;GasA;1516;0;1516;1;1;3;1;6;0;Attchd;1964.0;2.0;472.0;0;0;0;152;0;;;0;2;2009;167000
607;534400290;RL;85.0;9350;Pave;Inside;NAmes;1Fam;1Story;5;6;1961;1995;Gable;CompShg;Wd Sdng;Wd Sdng;TA;CBlock;1313.0;GasA;1313;0;1313;1;1;3;1;6;1;Attchd;1961.0;2.0;610.0;28;0;0;121;0;MnPrv;;0;2;2009;153000
608;534402060;RL;115.0;10500;Pave;Inside;NAmes;1Fam;1Story;5;5;1964;1964;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;1292.0;GasA;1292;0;1292;1;1;3;1;6;2;Detchd;1964.0;2.0;520.0;32;0;0;92;0;;;0;7;2009;145100
609;534402140;RL;;11000;Pave;CulDSac;NAmes;1Fam;1Story;5;6;1966;1966;Gable;CompShg;Plywood;Plywood;TA;CBlock;1154.0;GasA;1154;0;1154;1;1;3;1;6;1;Attchd;1966.0;2.0;480.0;58;0;0;0;0;MnPrv;;0;11;2009;154000
610;534402170;RL;;8970;Pave;Corner;NAmes;1Fam;2Story;5;6;1965;1965;Gable;CompShg;MetalSd;MetalSd;TA;CBlock;744.0;GasA;825;1315;2140;2;1;4;1;7;1;Attchd;1965.0;2.0;549.0;40;264;0;0;0;MnPrv;;0;6;2009;177500
611;534403370;RL;;12095;Pave;Corner;NAmes;1Fam;SLvl;6;6;1964;1964;Gable;CompShg;MetalSd;HdBoard;TA;CBlock;1127.0;GasA;1445;0;1445;1;1;3;1;7;1;Attchd;1964.0;2.0;645.0;0;0;0;0;0;MnPrv;;0;8;2009;158000
612;534426110;RL;80.0;9600;Pave;Corner;NAmes;1Fam;1Story;5;6;1959;1959;Gable;CompShg;MetalSd;MetalSd;TA;CBlock;1041.0;GasA;1041;0;1041;1;0;3;1;6;0;Attchd;1959.0;1.0;270.0;88;0;0;0;0;MnPrv;;0;7;2009;124500
613;534429150;RL;85.0;11475;Pave;Corner;NAmes;1Fam;SLvl;6;6;1961;1961;Hip;CompShg;HdBoard;HdBoard;TA;CBlock;1208.0;GasA;1576;0;1576;1;0;4;1;7;1;BuiltIn;1961.0;2.0;368.0;0;0;0;0;0;;;0;9;2009;174500
614;534431130;RL;68.0;9768;Pave;Inside;NAmes;1Fam;1Story;5;5;1955;1955;Gable;CompShg;Wd Sdng;Wd Sdng;TA;CBlock;960.0;GasA;960;0;960;1;0;2;1;5;0;Attchd;1955.0;1.0;330.0;70;0;0;0;0;MnPrv;;0;2;2009;122000
615;534450150;RL;50.0;5330;Pave;Inside;BrkSide;1Fam;1Story;4;7;1940;1950;Hip;CompShg;VinylSd;VinylSd;Fa;CBlock;420.0;GasA;708;0;708;1;0;2;1;5;0;;;0.0;0.0;0;0;0;0;0;;;0;12;2009;82500
616;534451110;RL;;7015;Pave;Corner;BrkSide;1Fam;1.5Fin;5;4;1950;1950;Gable;CompShg;MetalSd;MetalSd;TA;CBlock;709.0;GasA;979;224;1203;1;0;3;1;5;1;Detchd;1950.0;1.0;352.0;0;248;0;0;0;;;0;7;2009;110000
617;534475185;RL;128.0;12160;Pave;Inside;NAmes;1Fam;1Story;6;4;1953;1953;Hip;CompShg;Wd Sdng;Wd Sdng;TA;CBlock;1505.0;GasA;1505;0;1505;1;0;2;1;6;1;Attchd;1953.0;2.0;505.0;0;0;162;0;0;;;0;2;2009;149500
618;534475250;RL;90.0;9900;Pave;Inside;NAmes;1Fam;1Story;6;5;1967;1967;Gable;CompShg;BrkComm;Brk Cmn;Gd;CBlock;1680.0;GasA;1691;0;1691;1;0;2;1;5;0;Attchd;1967.0;2.0;550.0;67;260;0;0;0;MnPrv;;0;4;2009;175000
619;534476150;RL;80.0;9600;Pave;Inside;NAmes;1Fam;1Story;6;5;1953;1953;Hip;CompShg;HdBoard;HdBoard;TA;CBlock;1416.0;GasA;1644;0;1644;1;0;3;1;7;2;Attchd;1953.0;2.0;418.0;0;0;0;0;0;;;0;10;2009;167000
620;534476320;RL;80.0;9600;Pave;Inside;NAmes;1Fam;1Story;5;6;1956;1956;Hip;CompShg;MetalSd;MetalSd;TA;CBlock;1050.0;GasA;1050;0;1050;1;0;2;1;5;0;Attchd;1956.0;1.0;338.0;0;0;0;0;0;;;0;6;2009;128900
621;534477110;RL;80.0;9600;Pave;Inside;NAmes;1Fam;1.5Fin;6;8;1950;2005;Gable;CompShg;VinylSd;VinylSd;TA;CBlock;856.0;GasA;1112;556;1668;1;1;3;1;6;0;Attchd;1950.0;1.0;271.0;0;0;0;0;0;MnPrv;;0;9;2009;140000
622;534478230;RL;80.0;9600;Pave;Inside;NAmes;1Fam;1Story;5;7;1950;2007;Gable;CompShg;MetalSd;MetalSd;Gd;CBlock;1113.0;GasA;1113;0;1113;1;0;3;1;5;1;Attchd;1950.0;1.0;264.0;80;120;0;0;0;;;0;7;2009;147000
623;535101120;RL;65.0;8944;Pave;Inside;NAmes;Duplex;1Story;5;5;1967;1967;Gable;CompShg;Plywood;Plywood;TA;CBlock;1584.0;GasA;1584;0;1584;2;0;4;2;8;0;Detchd;1967.0;3.0;792.0;152;0;0;0;0;;;0;4;2009;124000
624;535104120;RL;92.0;10573;Pave;Corner;NAmes;1Fam;1Story;6;6;1961;1961;Hip;CompShg;MetalSd;MetalSd;TA;CBlock;1453.0;GasA;1453;0;1453;2;0;3;1;6;1;Attchd;1961.0;2.0;530.0;49;0;0;288;0;GdPrv;;0;4;2009;187500
625;535105100;RL;;9500;Pave;Inside;NAmes;1Fam;1Story;6;5;1963;1963;Gable;CompShg;Plywood;Plywood;TA;CBlock;1394.0;GasA;1394;0;1394;1;1;3;1;6;2;Attchd;1963.0;2.0;514.0;76;0;0;185;0;;;0;7;2009;159000
626;535125070;RL;80.0;14695;Pave;Inside;NAmes;1Fam;1Story;6;8;1966;2008;Gable;CompShg;MetalSd;MetalSd;TA;CBlock;1562.0;GasA;1567;0;1567;2;0;2;1;5;2;Attchd;1966.0;2.0;542.0;110;0;0;342;0;GdWo;;0;7;2009;256000
627;535125090;RL;85.0;13600;Pave;Inside;NAmes;1Fam;2Story;7;6;1965;1990;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;768.0;GasA;1186;800;1986;2;1;3;1;7;3;Attchd;1965.0;2.0;486.0;42;0;0;189;0;;;0;10;2009;205000
628;535126010;RL;100.0;13000;Pave;Corner;NAmes;1Fam;2Story;6;6;1968;1968;Gable;CompShg;VinylSd;VinylSd;TA;CBlock;896.0;GasA;1182;960;2142;2;1;4;1;8;1;Attchd;1968.0;1.0;509.0;72;0;0;252;0;;;0;6;2009;193500
629;535126100;RL;120.0;13560;Pave;Corner;NAmes;1Fam;1Story;6;3;1968;1968;Hip;CompShg;Wd Sdng;Wd Sdng;TA;CBlock;1392.0;GasA;1392;0;1392;1;0;2;1;5;2;Attchd;1968.0;2.0;576.0;0;240;0;0;0;;;0;7;2009;110000
630;535150070;RL;;12513;Pave;FR2;NAmes;1Fam;1.5Fin;4;4;1920;2007;Gable;CompShg;VinylSd;VinylSd;TA;BrkTil;715.0;GasA;1281;457;1738;2;0;4;1;7;1;Attchd;1920.0;1.0;368.0;0;0;0;0;0;;;0;6;2009;104900
631;535151040;RL;73.0;8760;Pave;Inside;NAmes;1Fam;1Story;5;7;1956;1956;Gable;CompShg;Wd Sdng;Wd Sdng;Gd;CBlock;1169.0;GasA;1144;0;1144;1;0;3;1;6;0;Attchd;1956.0;1.0;286.0;0;0;0;0;0;;;0;6;2009;150000
632;535152230;RL;70.0;8400;Pave;Inside;NAmes;1Fam;1Story;6;3;1957;1957;Hip;CompShg;BrkFace;BrkFace;TA;CBlock;1478.0;GasA;1478;0;1478;1;1;3;1;6;2;Attchd;1957.0;2.0;442.0;0;0;0;216;0;;;0;6;2009;156500
633;535154060;RL;;12285;Pave;Inside;NAmes;1Fam;1Story;7;6;1960;1960;Gable;CompShg;Plywood;Plywood;TA;CBlock;1329.0;GasA;1329;0;1329;1;1;3;1;5;2;Attchd;1960.0;2.0;441.0;0;203;0;0;0;;;0;8;2009;176000
634;535154130;RL;66.0;9240;Pave;Inside;NAmes;1Fam;1Story;6;8;1959;1998;Hip;CompShg;MetalSd;MetalSd;Gd;CBlock;988.0;GasA;988;0;988;2;0;3;1;6;0;Attchd;1959.0;1.0;297.0;0;0;0;0;0;;;0;6;2009;149500
635;535175030;RL;80.0;9600;Pave;Inside;NAmes;1Fam;1Story;6;6;1958;1988;Hip;CompShg;Wd Sdng;Wd Sdng;TA;CBlock;1240.0;GasA;1632;0;1632;2;0;3;1;6;1;Attchd;1958.0;1.0;338.0;0;0;0;0;0;MnPrv;;0;4;2009;139000
636;535175050;RL;66.0;12400;Pave;Inside;NAmes;1Fam;1Story;6;7;1958;1998;Hip;CompShg;Wd Sdng;Wd Sdng;TA;CBlock;1215.0;GasA;1215;0;1215;1;0;3;1;6;0;Attchd;1958.0;1.0;297.0;0;0;0;234;0;;;0;6;2009;155000
637;535178040;RL;70.0;8750;Pave;Inside;NAmes;1Fam;1Story;5;5;1956;1956;Gable;CompShg;BrkFace;BrkFace;TA;CBlock;1202.0;GasA;1202;0;1202;1;0;3;1;6;0;Attchd;1956.0;1.0;304.0;35;120;0;0;0;GdWo;;0;11;2009;120000
638;535178120;RL;70.0;8750;Pave;Inside;NAmes;1Fam;1Story;5;5;1955;1955;Gable;CompShg;AsbShng;AsbShng;TA;CBlock;1382.0;GasA;1382;0;1382;1;0;3;1;6;0;Attchd;1955.0;1.0;350.0;0;0;0;0;0;GdWo;;0;7;2009;153000
639;535179160;RL;80.0;10400;Pave;Corner;NAmes;1Fam;1Story;4;5;1956;1956;Gable;CompShg;Plywood;Plywood;TA;CBlock;1200.0;GasA;1200;0;1200;1;0;3;1;6;2;Attchd;1956.0;1.0;294.0;189;140;0;0;0;;;0;11;2009;144000
640;535300120;RL;120.0;19296;Pave;Corner;NAmes;1Fam;SLvl;6;5;1962;1962;Gable;CompShg;Wd Sdng;Wd Sdng;TA;CBlock;1362.0;GasA;1382;0;1382;1;0;3;1;6;1;Attchd;1991.0;2.0;884.0;0;252;0;0;0;GdWo;;0;5;2009;176000
641;535301170;RL;74.0;8532;Pave;Inside;NAmes;1Fam;1Story;5;6;1954;1990;Hip;CompShg;Wd Sdng;Wd Sdng;TA;CBlock;1297.0;GasA;1297;0;1297;1;0;3;1;5;1;Attchd;1954.0;2.0;498.0;0;0;0;0;0;;;0;10;2009;153000
642;535302120;RL;76.0;9482;Pave;Inside;NAmes;Duplex;1Story;5;4;1958;1958;Hip;CompShg;Wd Sdng;Wd Sdng;TA;PConc;1866.0;GasA;1866;0;1866;2;0;4;2;8;0;Detchd;1958.0;2.0;495.0;0;0;0;0;0;;;0;12;2009;135000
643;535303110;RL;53.0;8128;Pave;CulDSac;NAmes;1Fam;1Story;6;7;1954;1954;Hip;CompShg;MetalSd;MetalSd;TA;CBlock;1062.0;GasA;1062;0;1062;1;0;3;1;6;0;Attchd;1954.0;1.0;297.0;0;0;0;0;0;;;0;2;2009;131000
644;535303150;RL;79.0;10634;Pave;Inside;NAmes;1Fam;1Story;5;6;1953;1953;Gable;CompShg;MetalSd;MetalSd;TA;PConc;608.0;GasA;1319;0;1319;1;0;3;1;5;0;Attchd;1953.0;1.0;270.0;0;0;0;0;0;GdWo;;0;11;2009;123000
645;535304100;RL;67.0;13070;Pave;Corner;NAmes;1Fam;1Story;5;5;1951;1951;Hip;CompShg;MetalSd;MetalSd;TA;CBlock;631.0;GasA;1112;0;1112;1;0;2;1;5;0;Basment;1951.0;2.0;480.0;0;0;0;255;0;;;0;10;2009;126000
646;535325290;RL;60.0;10434;Pave;Inside;NAmes;1Fam;1Story;4;5;1955;1955;Gable;CompShg;Plywood;Plywood;TA;CBlock;1005.0;GasA;1005;0;1005;1;0;2;1;5;1;Detchd;1977.0;2.0;672.0;0;0;0;0;0;;;0;11;2009;115000
647;535351050;RL;75.0;14559;Pave;Inside;NAmes;1Fam;1Story;5;7;1951;2000;Hip;CompShg;Wd Sdng;Wd Sdng;Gd;CBlock;1008.0;GasA;1363;0;1363;1;0;2;1;6;2;CarPort;1951.0;1.0;288.0;42;0;0;168;0;;Shed;2000;6;2009;164900
648;535352090;RL;80.0;8480;Pave;Corner;NAmes;1Fam;1Story;5;6;1945;1950;Gable;CompShg;MetalSd;MetalSd;TA;CBlock;793.0;GasA;793;0;793;1;0;2;1;4;0;Detchd;1945.0;1.0;240.0;0;0;0;0;0;;;0;8;2009;113000
649;535353040;RL;60.0;7626;Pave;Inside;NAmes;1Fam;1Story;5;8;1952;2005;Hip;CompShg;Wd Sdng;Wd Sdng;Gd;CBlock;1031.0;GasA;1031;0;1031;1;0;2;1;5;0;Attchd;1952.0;1.0;230.0;0;0;0;0;0;MnPrv;;0;3;2009;145500
650;535353060;RL;75.0;9533;Pave;Inside;NAmes;1Fam;1Story;5;5;1953;1953;Hip;CompShg;Wd Sdng;Wd Sdng;TA;Slab;0.0;GasA;1210;0;1210;1;1;2;1;7;0;Attchd;1953.0;1.0;616.0;0;100;0;0;0;MnPrv;;0;8;2009;102900
651;535353140;RL;107.0;10615;Pave;Corner;OldTown;2fmCon;2Story;3;5;1900;1970;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;978.0;GasA;1014;685;1699;2;0;3;2;7;0;CarPort;1920.0;2.0;420.0;74;0;0;0;0;;;0;8;2009;95000
652;535353240;RL;78.0;11419;Pave;Corner;NAmes;1Fam;2Story;7;7;1948;1999;Gable;CompShg;WdShing;Wd Shng;TA;CBlock;699.0;GasA;801;726;1527;1;1;3;1;6;1;Attchd;1948.0;2.0;410.0;0;134;0;0;0;GdWo;;0;12;2009;152500
653;535354070;RL;60.0;9600;Pave;Inside;NAmes;1Fam;1Story;5;6;1950;1950;Gable;CompShg;Wd Sdng;Wd Sdng;TA;CBlock;1200.0;GasA;1200;0;1200;1;0;3;1;6;0;Attchd;1950.0;1.0;246.0;0;0;0;0;0;GdWo;;0;8;2009;129900
654;535354100;RL;50.0;8000;Pave;Inside;NAmes;1Fam;1Story;6;6;1948;2002;Gable;CompShg;VinylSd;VinylSd;TA;CBlock;972.0;GasA;972;0;972;1;0;2;1;5;1;Detchd;1948.0;1.0;240.0;0;0;0;0;0;;;0;5;2009;132000
655;535375010;RL;53.0;5470;Pave;Inside;OldTown;1Fam;1Story;3;5;1958;1958;Gable;CompShg;MetalSd;MetalSd;TA;CBlock;792.0;GasA;792;0;792;1;0;2;1;4;0;Attchd;1958.0;1.0;366.0;90;0;0;0;0;;;0;8;2009;99900
656;535375050;RL;60.0;10410;Pave;Inside;OldTown;1Fam;1.5Fin;5;7;1916;1987;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;660.0;GasA;808;704;1656;2;1;3;1;8;0;Detchd;1916.0;1.0;180.0;0;0;140;0;0;MnPrv;;0;8;2009;135000
657;535376060;RL;60.0;10800;Pave;Inside;OldTown;1Fam;2Story;5;7;1939;2006;Gable;CompShg;VinylSd;VinylSd;TA;BrkTil;676.0;GasA;676;676;1352;2;0;4;1;7;0;Detchd;1939.0;2.0;720.0;0;128;0;0;0;;;0;8;2009;149000
658;535377150;RL;80.0;8146;Pave;Corner;OldTown;1Fam;2Story;4;8;1900;2003;Gable;CompShg;MetalSd;MetalSd;Gd;BrkTil;405.0;GasA;717;322;1039;1;0;2;1;6;0;Detchd;1940.0;1.0;281.0;0;168;0;111;0;;;0;5;2009;114000
659;535378020;RL;52.0;9022;Pave;Inside;OldTown;1Fam;1Story;5;8;1924;2006;Gable;CompShg;VinylSd;VinylSd;Gd;BrkTil;768.0;GasA;792;0;792;1;0;2;1;5;0;Detchd;1924.0;1.0;240.0;0;120;0;0;0;;;0;5;2009;109500
660;535378120;RL;60.0;10230;Pave;Inside;OldTown;1Fam;1Story;5;7;1925;1950;Gable;CompShg;MetalSd;MetalSd;TA;BrkTil;1054.0;GasA;1078;0;1078;1;0;3;1;6;0;Detchd;1987.0;1.0;264.0;0;0;0;112;0;GdWo;;0;12;2009;125000
661;535381040;RL;60.0;10410;Pave;Inside;OldTown;1Fam;1.5Fin;4;5;1915;1950;Gable;CompShg;MetalSd;MetalSd;TA;BrkTil;1313.0;GasA;1313;0;2377;2;0;3;1;8;1;Detchd;1954.0;2.0;528.0;0;432;0;0;0;;;0;6;2009;142900
662;535382100;RL;60.0;7200;Pave;Corner;OldTown;1Fam;2Story;7;9;1910;2008;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;560.0;GasA;930;760;1690;2;0;4;1;5;0;Detchd;2008.0;2.0;624.0;0;112;0;0;0;;;0;8;2009;156500
663;535383060;RL;90.0;5400;Pave;Inside;OldTown;1Fam;1Story;2;5;1940;1950;Gable;CompShg;Stucco;Stucco;Fa;PConc;416.0;GasA;599;0;599;1;0;2;1;4;0;;;0.0;0.0;81;0;0;0;0;;;0;6;2009;59000
664;535383070;RL;90.0;5400;Pave;Corner;OldTown;1Fam;1.5Fin;4;6;1920;1950;Gable;CompShg;CBlock;CBlock;Fa;PConc;840.0;GasA;840;534;1374;1;0;2;1;6;0;Detchd;1967.0;1.0;338.0;0;198;0;0;0;;;0;10;2009;105000
665;535383110;RL;60.0;10800;Pave;Inside;OldTown;1Fam;1Story;5;7;1920;1950;Gable;CompShg;Wd Sdng;Wd Sdng;TA;BrkTil;720.0;GasA;846;0;846;1;0;2;1;4;0;Detchd;1980.0;2.0;576.0;0;0;0;0;0;;;0;6;2009;106000
666;535383120;RL;60.0;10800;Pave;Corner;OldTown;1Fam;1Story;3;5;1890;1998;Gable;CompShg;VinylSd;VinylSd;TA;BrkTil;630.0;GasA;725;0;725;1;1;1;1;4;0;Detchd;1959.0;1.0;320.0;30;0;0;0;0;;;0;11;2009;78500
667;535402010;RL;81.0;9671;Pave;Corner;NAmes;Duplex;2Story;6;5;1969;1969;Gable;CompShg;MetalSd;MetalSd;TA;CBlock;1248.0;GasA;1248;1296;2544;2;2;6;2;12;0;Attchd;1969.0;3.0;907.0;0;0;0;0;0;;;0;8;2009;190000
668;535402090;RL;83.0;10143;Pave;Inside;NAmes;1Fam;1Story;6;7;1963;1963;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;1380.0;GasA;1380;0;1380;1;1;3;1;6;0;Attchd;1963.0;1.0;364.0;0;0;0;216;0;GdWo;;0;6;2009;154000
669;535402270;RL;77.0;11500;Pave;Inside;NAmes;1Fam;1Story;6;4;1967;1967;Gable;CompShg;HdBoard;HdBoard;Fa;CBlock;1040.0;GasA;1040;0;1040;1;0;3;1;6;1;Attchd;1967.0;2.0;480.0;0;156;0;0;0;MnPrv;;0;5;2009;163000
670;535402330;RL;91.0;11643;Pave;Inside;NAmes;Duplex;2Story;5;5;1969;1969;Gable;CompShg;MetalSd;MetalSd;TA;CBlock;1248.0;GasA;1338;1296;2634;2;2;6;2;12;0;Detchd;1969.0;4.0;968.0;0;0;0;0;0;;;0;8;2009;200000
671;535403190;RL;62.0;8010;Pave;Inside;NAmes;1Fam;1Story;6;9;1958;2007;Hip;CompShg;Wd Sdng;Wd Sdng;Gd;CBlock;951.0;GasA;951;0;951;1;0;2;1;6;0;Detchd;1985.0;2.0;480.0;0;42;0;0;0;;Shed;450;9;2009;143500
672;535403210;RL;90.0;10454;Pave;Corner;NAmes;1Fam;1Story;6;6;1957;1957;Hip;CompShg;Plywood;Plywood;TA;CBlock;1105.0;GasA;1105;0;1105;1;0;3;1;5;0;Detchd;1957.0;1.0;308.0;0;0;0;0;0;;;0;4;2009;135000
673;535403280;RL;64.0;8712;Pave;Inside;NAmes;1Fam;1Story;5;7;1957;2000;Hip;CompShg;MetalSd;MetalSd;TA;CBlock;992.0;GasA;1306;0;1306;1;0;2;1;5;0;Detchd;1968.0;1.0;756.0;0;0;0;0;0;;;0;5;2009;153000
